#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,108,125.770535
-1.0,188,126.352031
-3.0,51,126.45523
-2.0,94,126.652385
-3.0,94,127.032632
-7.0,80,127.190578
-8.0,44,127.279806
0.0,72,127.423333
-4.0,55,127.722556
-1.0,137,127.981543
2.0,65,128.107327
0.0,72,128.43762
-4.0,80,128.593628
1.0,58,128.710252
-4.0,58,128.818871
1.0,80,129.159132
-8.0,69,129.292962
-4.0,80,129.449569
0.0,72,129.783469
1.0,94,129.968021
0.0,72,130.107759
-4.0,59,130.415425
-3.0,94,130.642274
1.0,72,130.795142
2.0,80,130.95496
-11.0,87,131.323836
-3.0,72,131.467286
-12.0,90,131.66565
2.0,72,132.002724
-8.0,65,132.134941
-4.0,93,132.31415
3.0,65,132.631529
-3.0,65,132.765684
-3.0,51,132.868334
2.0,65,133.000196
-7.0,44,133.088261
0.0,72,133.421909
-1.0,173,133.771307
-4.0,65,134.087765
-2.0,72,134.235425
1.0,44,134.325153
0.0,87,134.504847
-4.0,80,134.850542
0.0,65,134.974076
1.0,51,135.073236
2.0,94,135.464645
0.0,87,135.629428
2.0,123,135.885734
0.0,72,136.224919
3.0,137,136.48597
0.0,65,136.801161
1.0,159,137.123121
-3.0,80,137.289124
3.0,72,137.617566
0.0,80,137.780697
1.0,44,137.863014
-8.0,65,137.986398
0.0,209,138.586822
2.0,80,138.935925
-4.0,65,139.06481
-3.0,58,139.179701
0.0,51,139.286687
1.0,80,139.639254
-4.0,72,139.787468
-3.0,65,139.911732
1.0,65,140.036341
-4.0,80,140.385598
0.0,60,140.506761
1.0,94,140.688751
0.0,44,140.787953
0.0,72,141.123958
-7.0,144,141.397903
0.0,87,141.759004
-4.0,65,141.898377
-3.0,44,141.986709
1.0,108,142.204898
1.0,72,142.54381
0.0,72,142.69422
1.0,51,142.808941
0.0,80,143.168527
0.0,65,143.299312
-4.0,94,143.489175
0.0,58,143.604612
-4.0,80,143.960757
-8.0,94,144.147256
-7.0,94,144.324699
1.0,58,144.630151
-7.0,152,144.936376
2.0,58,145.249244
2.0,80,145.402703
0.0,72,145.542013
-4.0,51,145.636862
3.0,65,145.963564
1.0,72,146.106992
0.0,65,146.239009
-7.0,152,146.726555
-7.0,94,146.924591
-4.0,58,147.042672
1.0,51,147.147917
2.0,65,147.467188
0.0,58,147.578762
0.0,44,147.660801
-8.0,80,147.812073
-3.0,94,148.219055
-4.0,46,148.322034
2.0,80,148.490617
-11.0,72,148.825802
-4.0,57,148.952683
-4.0,87,149.130649
0.0,44,149.221299
1.0,101,149.625684
1.0,72,149.768876
2.0,101,149.981867
0.0,44,150.262387
2.0,65,150.392625
-2.0,94,150.581647
-4.0,65,150.70961
1.0,94,151.094899
3.0,68,151.226937
2.0,65,151.347526
-3.0,108,151.752488
1.0,137,152.036527
0.0,87,152.407852
-8.0,44,152.496193
1.0,44,152.587232
-3.0,80,152.7493
0.0,173,153.30742
-3.0,87,153.492208
-7.0,72,153.833258
0.0,123,154.088659
0.0,58,154.211838
-3.0,94,154.59037
1.0,108,154.802122
-4.0,44,154.889114
-8.0,94,155.274572
1.0,51,155.376462
-5.0,137,155.652694
0.0,94,156.03894
-6.0,87,156.208456
0.0,72,156.34736
-8.0,137,156.805581
-3.0,51,156.907011
1.0,94,157.110365
1.0,44,157.391116
-6.0,87,157.569615
0.0,80,157.728713
-7.0,72,158.079696
-3.0,80,158.236514
-4.0,51,158.332948
-6.0,87,158.497959
2.0,58,158.795581
1.0,80,158.948487
0.0,60,159.070611
2.0,111,159.486895
0.0,51,159.582217
0.0,56,159.688374
0.0,72,159.824874
-7.0,94,160.204141
0.0,44,160.287899
0.0,108,160.490591
1.0,80,160.838281
-11.0,80,160.998892
-10.0,87,161.180607
0.0,58,161.300097
0.0,72,161.626763
-3.0,80,161.779406
3.0,80,161.932968
0.0,65,162.252968
-7.0,87,162.432807
0.0,51,162.538128
-4.0,73,162.68364
0.0,58,162.989372
