#{"t_start": 1620417643.3996675, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,58,314.357669
0.0,44,314.521011
2.0,87,314.883906
0.0,87,315.322895
-4.0,80,315.676272
2.0,80,316.043988
-11.0,72,316.323701
0.0,65,316.678092
-3.0,94,317.054264
-3.0,94,317.48606
0.0,58,317.716014
0.0,72,318.09094
0.0,72,318.352201
2.0,94,318.760488
-3.0,94,319.182
-4.0,65,319.464783
-4.0,58,319.745426
0.0,65,320.002104
2.0,94,320.441968
0.0,65,320.702965
0.0,72,321.046705
0.0,51,321.263136
3.0,65,321.547506
2.0,87,321.957242
-3.0,51,322.174068
-4.0,51,322.368321
1.0,108,322.803992
2.0,94,323.196922
0.0,44,323.417693
-3.0,51,323.67398
-3.0,51,323.880437
-3.0,51,324.101355
-3.0,44,324.27295
-2.0,51,324.459314
-4.0,65,324.734288
0.0,58,325.0108
-2.0,87,325.362049
-4.0,51,325.600445
-3.0,44,325.780083
0.0,72,326.031231
-3.0,80,326.346929
0.0,51,326.608063
-3.0,44,326.749731
1.0,108,327.191082
0.0,132,327.73496
0.0,51,327.920204
-7.0,94,328.282767
-8.0,72,328.562007
0.0,80,328.893127
0.0,80,329.27129
-3.0,80,329.628751
-8.0,72,329.958058
2.0,51,330.187823
-8.0,51,330.458118
0.0,80,330.836455
-3.0,72,331.058481
1.0,65,331.351841
1.0,72,331.634097
-3.0,72,331.924155
-3.0,94,332.270875
1.0,108,332.696589
-2.0,87,333.071652
0.0,108,333.567893
1.0,72,333.874806
-7.0,87,334.246833
0.0,87,334.690262
0.0,72,334.988001
-3.0,94,335.381861
1.0,108,335.891725
2.0,94,336.256413
0.0,65,336.50766
-1.0,159,337.147734
-7.0,72,337.467161
0.0,72,337.791937
0.0,72,338.108139
1.0,65,338.437215
0.0,72,338.783206
-2.0,72,339.082587
0.0,94,339.476894
-3.0,58,339.706682
-4.0,58,339.948399
-4.0,58,340.240731
1.0,80,340.601302
-8.0,44,340.769987
-3.0,58,341.001309
-2.0,72,341.299041
-7.0,73,341.647925
2.0,65,341.971739
-3.0,51,342.191367
2.0,65,342.439785
0.0,72,342.709828
0.0,87,343.031166
0.0,87,343.406503
0.0,87,343.716788
0.0,65,343.992422
1.0,51,344.227835
1.0,80,344.545671
2.0,72,344.847247
0.0,80,345.175105
0.0,58,345.44451
0.0,51,345.647718
-8.0,65,345.877336
2.0,58,346.148296
0.0,58,346.412131
1.0,72,346.726761
1.0,80,347.054818
0.0,87,347.391061
1.0,101,347.81076
-3.0,80,348.117927
0.0,80,348.450947
3.0,94,348.86795
0.0,51,349.056224
0.0,87,349.474778
0.0,44,349.641194
3.0,58,349.901026
3.0,94,350.267268
1.0,65,350.560171
0.0,87,350.890053
1.0,80,351.255197
-3.0,51,351.520334
-3.0,80,351.844171
-6.0,94,352.239877
0.0,87,352.658475
1.0,58,352.902141
-2.0,80,353.213422
0.0,87,353.562374
1.0,94,354.017204
0.0,44,354.188377
-3.0,114,354.631839
-3.0,94,355.048929
0.0,44,355.204122
1.0,101,355.605702
-8.0,65,355.912104
0.0,72,356.205959
0.0,58,356.464523
0.0,58,356.718889
1.0,65,356.980122
0.0,72,357.324143
0.0,61,357.580104
-4.0,65,357.825948
0.0,65,358.091708
0.0,94,358.573173
0.0,58,358.797393
-2.0,67,359.061948
1.0,65,359.307116
-3.0,80,359.629637
0.0,51,359.816901
-3.0,94,360.242701
1.0,80,360.594057
1.0,57,360.858455
-3.0,51,361.02868
-3.0,51,361.235042
-4.0,72,361.486111
-4.0,94,361.878042
-2.0,80,362.260121
1.0,51,362.495389
0.0,65,362.746112
-3.0,44,362.909881
-3.0,58,363.127258
1.0,127,363.662447
0.0,80,363.992014
0.0,51,364.200255
0.0,72,364.51132
1.0,72,364.743239
-3.0,51,364.99417
0.0,65,365.24064
-4.0,51,365.477309
-7.0,80,365.889792
1.0,44,366.053548
2.0,72,366.351394
-4.0,94,366.810958
-3.0,94,367.227213
-2.0,72,367.565401
-4.0,80,367.906272
1.0,80,368.217032
-4.0,101,368.632271
0.0,87,369.051957
-3.0,116,369.598546
-3.0,94,370.009861
0.0,44,370.193052
-3.0,94,370.646162
0.0,65,370.920453
-3.0,51,371.164462
-3.0,51,371.343969
0.0,65,371.729524
-4.0,80,372.036882
-4.0,80,372.390113
0.0,80,372.719194
0.0,58,372.954453
-8.0,65,373.217829
-4.0,80,373.550366
-4.0,65,373.856551
0.0,72,374.126451
-10.0,87,374.511515
-1.0,87,374.87756
-3.0,80,375.239059
-4.0,80,375.597606
2.0,72,375.898805
-3.0,51,376.151933
0.0,44,376.337364
0.0,60,376.601975
0.0,110,377.049101
1.0,72,377.437303
0.0,80,377.78997
2.0,108,378.255063
1.0,108,378.670304
0.0,72,378.942926
1.0,72,379.264809
0.0,58,379.567469
2.0,101,379.925785
-3.0,72,380.199261
-3.0,80,380.561962
2.0,72,380.860944
0.0,72,381.193602
-4.0,87,381.566255
-3.0,80,381.920018
-2.0,72,382.190376
-4.0,51,382.362043
0.0,65,382.628757
-4.0,65,382.95066
0.0,58,383.206666
0.0,65,383.456827
3.0,72,383.744922
0.0,58,384.022329
-3.0,80,384.412454
-3.0,80,384.750718
-3.0,80,385.069949
-3.0,101,385.513313
1.0,44,385.725647
0.0,87,386.145099
-11.0,94,386.536934
-2.0,94,386.963649
-3.0,94,387.428742
-4.0,51,387.638047
-4.0,72,387.911787
-7.0,87,388.242329
0.0,44,388.414996
1.0,51,388.635001
2.0,65,388.88351
0.0,72,389.204393
2.0,72,389.551519
-2.0,94,389.926924
0.0,72,390.253407
1.0,101,390.784454
0.0,72,391.124764
1.0,101,391.537893
1.0,101,391.945046
0.0,65,392.24496
0.0,72,392.526136
0.0,44,392.683208
-3.0,51,392.913311
-11.0,94,393.330554
-3.0,51,393.573902
1.0,80,393.887449
-7.0,72,394.15718
-4.0,72,394.50768
-4.0,65,394.774595
0.0,87,395.095969
0.0,80,395.436624
-8.0,51,395.68398
-6.0,89,396.095447
-4.0,44,396.345188
0.0,87,396.661736
0.0,87,397.016639
-4.0,72,397.367239
-3.0,80,397.681082
-4.0,58,397.898632
1.0,101,398.332703
-8.0,51,398.508103
0.0,60,398.808245
0.0,58,399.096504
3.0,94,399.46483
1.0,111,399.893044
1.0,58,400.082558
1.0,101,400.559835
2.0,72,400.929524
-4.0,80,401.24627
1.0,44,401.454042
0.0,80,401.794154
0.0,58,402.072591
0.0,80,402.386988
1.0,65,402.654035
-3.0,94,403.037436
0.0,80,403.365966
0.0,94,403.846139
0.0,72,404.096366
0.0,80,404.521093
0.0,87,404.878058
2.0,72,405.14964
-4.0,109,405.630754
2.0,72,405.910543
-4.0,58,406.161565
0.0,72,406.466932
0.0,65,406.786379
0.0,72,407.125089
-3.0,51,407.351126
-4.0,58,407.56834
-8.0,65,407.842927
0.0,44,408.026368
-2.0,87,408.40011
0.0,87,408.721064
-4.0,65,409.025365
2.0,94,409.384886
-8.0,65,409.666036
0.0,65,409.959713
-3.0,51,410.151886
1.0,101,410.637393
0.0,65,411.033162
0.0,87,411.366153
1.0,94,411.759465
0.0,94,412.215546
-2.0,51,412.444445
0.0,72,412.772039
-4.0,65,413.057257
-4.0,80,413.369999
2.0,72,413.668712
0.0,72,414.014039
1.0,101,414.537816
-3.0,80,414.898144
-2.0,80,415.233377
1.0,65,415.462362
0.0,44,415.664103
0.0,44,415.842309
0.0,87,416.197929
0.0,72,416.536011
-2.0,51,416.734668
2.0,65,416.968921
-3.0,51,417.165057
1.0,72,417.536999
0.0,44,417.694356
